Sr.no,Year,Mo,Dy,Earthquake Magnitude,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Total Deaths,Total Damage ($Mil)
924,1982,3.0,21,6.9,JAPAN,HOKKAIDO ISLAND,42.158,142.361,1.3,110.0,1.0
927,1982,12.0,25,6.0,INDONESIA,FLORES SEA,-8.405,123.08,,13.0,1.45
932,1983,4.0,3,7.5,COSTA RICA,COSTA RICA,8.677,-83.098,0.13,6.0,1.0
933,1983,5.0,26,7.8,JAPAN,"NOSHIRO, JAPAN",40.462,139.102,14.93,104.0,800.0
941,1983,10.0,4,7.7,CHILE,NORTHERN CHILE,-26.535,-70.563,0.2,5.0,1.0
943,1984,1.0,8,6.8,INDONESIA,SULAWESI,-2.823,118.806,,2.0,0.5
951,1985,3.0,3,8.0,CHILE,CENTRAL CHILE,-33.132,-71.708,3.5,180.0,1500.0
955,1985,9.0,19,8.0,MEXICO,MEXICO,18.19,-102.533,3.0,9500.0,4000.0
963,1987,2.0,8,7.4,PAPUA NEW GUINEA,SOLOMON SEA,-6.088,147.689,1.5,3.0,2.625
985,1988,8.0,20,6.6,BANGLADESH,BANGLADESH,26.755,86.616,,998.0,131.5
989,1989,10.0,18,6.9,USA,N. CALIFORNIA,37.036,-121.883,1.0,62.0,5600.0
991,1989,10.0,29,5.9,ALGERIA,"ALGIERS, CHERCHELL, TIPAZA",36.788,2.448,,30.0,5.0
999,1990,6.0,20,7.3,IRAN,CASPIAN SEA,36.957,49.409,2.0,40000.0,7200.0
1001,1990,12.0,13,5.3,ITALY,EASTERN SICILY,37.3,15.438,0.1,19.0,500.0
1007,1991,4.0,22,7.6,COSTA RICA,"LIMON, PANDORA",9.685,-83.073,3.0,90.0,510.0
1019,1992,9.0,2,7.6,NICARAGUA,NICARAGUA,11.5,-87.609,9.9,170.0,30.0
1020,1992,12.0,12,7.8,INDONESIA,FLORES SEA,-8.48,121.896,26.2,2500.0,100.0
1025,1993,7.0,12,7.7,JAPAN,SEA OF JAPAN,42.851,139.197,32.0,231.0,1207.0
1030,1994,1.0,17,6.7,USA,"WEST COAST, USA",34.213,-118.537,0.1,60.0,40000.0
1036,1994,6.0,2,7.8,INDONESIA,SOUTH OF JAVA,-10.477,112.835,13.9,238.0,2.2
1042,1994,9.0,19,,PAPUA NEW GUINEA,PAPUA NEW GUINEA,-4.238,152.214,3.0,4.0,86.0
1046,1994,11.0,4,,USA,"SKAGWAY, AK",59.5,-135.3,9.0,1.0,25.0
1047,1994,11.0,14,7.1,PHILIPPINES,PHILIPPINE ISLANDS,13.525,121.067,7.3,81.0,3.7
1048,1994,12.0,28,7.8,JAPAN,"TOHUKU, JAPAN",40.525,143.419,0.53,3.0,170.4
1050,1995,1.0,16,6.9,JAPAN,"KOBE, JAPAN",34.59,135.069,0.34,6434.0,100000.0
1057,1995,5.0,27,7.1,RUSSIA,SAKHALIN ISLAND,52.629,142.827,0.1,1989.0,300.0
1058,1995,6.0,15,6.5,GREECE,GULF OF CORINTH: AIYION,38.401,22.283,1.0,26.0,660.0
1059,1995,7.0,30,8.0,CHILE,NORTHERN CHILE,-23.34,-70.294,3.0,3.0,1.791
1068,1996,1.0,1,7.9,INDONESIA,SULAWESI,0.729,119.931,3.43,9.0,1.2
1071,1996,2.0,17,8.2,INDONESIA,IRIAN JAYA,-0.891,136.952,7.7,164.0,4.2
1088,1997,7.0,9,7.0,VENEZUELA,CARIACO-CUMANA,10.598,-63.486,,81.0,81.0
1099,1998,11.0,29,7.7,INDONESIA,TALIABU ISLAND,-2.071,124.891,2.75,41.0,200.0
1101,1999,8.0,17,7.6,TURKEY,"KOCAELI, TURKEY",40.76,29.97,2.52,17118.0,20000.0
1106,2000,5.0,4,7.6,INDONESIA,SULAWESI,-1.105,123.573,6.0,54.0,30.0
1115,2001,1.0,13,7.7,EL SALVADOR,EL SALVADOR,13.049,-88.66,0.25,844.0,753.0
1116,2001,6.0,23,8.4,PERU,S. PERU,-16.265,-73.641,8.8,103.0,200.0
1120,2002,3.0,5,7.5,PHILIPPINES,"MINDANAO ISLAND, PHILIPPINES",6.033,124.249,3.0,15.0,1.714
1131,2003,5.0,21,6.8,ALGERIA,N. ALGERIA,36.964,3.634,3.0,2287.0,5000.0
1138,2003,9.0,25,8.3,JAPAN,HOKKAIDO ISLAND,41.815,143.91,4.4,2.0,90.0
1153,2004,12.0,26,9.1,INDONESIA,OFF W. COAST OF SUMATRA,3.316,95.854,50.9,227899.0,10000.0
1163,2006,3.0,14,6.7,INDONESIA,SERAM ISLAND,-3.595,127.214,3.5,4.0,1.0
